Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.089,0.082,0.073,0.0299,0.0073,0.0047,0.0158,7
F,0.541,0.392,0.173,0.8214,0.3907,0.2026,0.2428,8
F,0.583,0.445,0.157,0.8458,0.2926,0.2126,0.2334,7
I,0.384,0.27,0.089,0.2622,0.1224,0.0795,0.0442,5
M,0.675,0.52,0.192,1.5417,0.6942,0.3281,0.4279,11
M,0.613,0.481,0.18,1.2256,0.423,0.3048,0.3951,17
M,0.712,0.573,0.192,1.8677,0.872,0.4326,0.5237,13
M,0.673,0.53,0.164,1.4658,0.7906,0.3578,0.3045,8
M,0.664,0.529,0.187,1.316,0.5478,0.2746,0.3911,11
F,0.637,0.517,0.179,1.3048,0.4566,0.3128,0.4353,14
I,0.435,0.302,0.074,0.2035,0.0703,0.0487,0.0859,9
F,0.598,0.478,0.143,1.1549,0.497,0.2132,0.3354,13
M,0.592,0.475,0.143,0.9974,0.3716,0.2413,0.2547,8
M,0.572,0.448,0.138,1.1382,0.4946,0.2378,0.3147,9
F,0.515,0.381,0.109,0.5309,0.1701,0.1002,0.1874,9
F,0.631,0.521,0.176,1.4595,0.5433,0.2663,0.4662,18
M,0.579,0.454,0.154,0.9201,0.2875,0.1818,0.2765,13
M,0.406,0.29,0.08,0.2451,0.1127,0.0361,0.0829,6
I,0.449,0.35,0.106,0.4118,0.1934,0.0955,0.1503,7
M,0.377,0.298,0.101,0.3783,0.1476,0.073,0.109,11
M,0.443,0.333,0.109,0.2803,0.1263,0.0698,0.0918,8
M,0.585,0.44,0.172,0.9172,0.3717,0.2023,0.2255,12
I,0.347,0.263,0.089,0.2075,0.0857,0.0387,0.0503,8
I,0.39,0.291,0.106,0.2864,0.1573,0.0632,0.0919,5
I,0.572,0.453,0.146,0.8642,0.4115,0.1593,0.2618,9
F,0.398,0.339,0.104,0.3789,0.1703,0.0857,0.1333,8
F,0.352,0.277,0.087,0.1739,0.0971,0.0216,0.052,7
I,0.214,0.161,0.091,0.0494,0.0149,0.0149,0.0301,7
I,0.607,0.485,0.139,1.0253,0.4188,0.2103,0.2893,7
F,0.5,0.405,0.139,0.5795,0.284,0.1094,0.1913,7
M,0.655,0.5,0.195,1.3538,0.5409,0.2894,0.4382,17
M,0.618,0.515,0.135,1.2219,0.5136,0.2282,0.286,10
M,0.671,0.506,0.223,1.6503,0.7418,0.3871,0.4573,16
F,0.53,0.402,0.13,0.6556,0.2772,0.1292,0.2034,9
I,0.461,0.32,0.124,0.4106,0.152,0.0769,0.1558,10
F,0.746,0.59,0.205,2.2254,1.0875,0.5002,0.6154,13
M,0.496,0.363,0.085,0.4702,0.1688,0.1166,0.1424,5
I,0.503,0.397,0.107,0.6688,0.3369,0.1126,0.2307,8
M,0.698,0.565,0.192,1.9737,0.7895,0.3929,0.5829,15
M,0.634,0.501,0.169,1.1378,0.439,0.2307,0.3679,10
I,0.658,0.521,0.128,1.3935,0.5799,0.2554,0.4126,11
M,0.579,0.456,0.14,1.0369,0.4301,0.2546,0.2619,9
M,0.571,0.471,0.166,0.9603,0.4319,0.1918,0.3162,12
F,0.473,0.338,0.132,0.4186,0.1499,0.0907,0.1648,14
I,0.58,0.454,0.128,0.9165,0.3602,0.2077,0.2414,8
I,0.317,0.23,0.101,0.153,0.089,0.0393,0.0579,5
F,0.543,0.442,0.17,1.0406,0.3857,0.219,0.3396,12
F,0.65,0.525,0.157,1.5484,0.7606,0.2798,0.384,12
M,0.622,0.485,0.177,1.2902,0.5128,0.2585,0.4306,13
F,0.655,0.504,0.162,1.4518,0.6353,0.2852,0.4101,12
F,0.397,0.322,0.105,0.4451,0.1898,0.126,0.1218,11
M,0.331,0.296,0.085,0.4223,0.2285,0.0613,0.1001,6
M,0.48,0.384,0.171,0.6701,0.2977,0.1124,0.2095,6
M,0.539,0.418,0.163,0.8594,0.3813,0.2219,0.207,5
M,0.675,0.539,0.227,1.8255,0.8311,0.3871,0.5366,16
I,0.296,0.238,0.095,0.1926,0.1051,0.0323,0.0637,11
M,0.696,0.551,0.203,1.7138,0.7456,0.3648,0.5056,14
M,0.547,0.41,0.141,1.0516,0.4157,0.2321,0.2772,12
F,0.593,0.447,0.125,1.0176,0.434,0.2019,0.1893,6
I,0.315,0.217,0.078,0.1885,0.0782,0.0339,0.0515,8
I,0.566,0.452,0.162,1.0204,0.4871,0.2272,0.2195,13
I,0.582,0.479,0.131,1.1255,0.4944,0.3195,0.323,9
M,0.63,0.471,0.161,1.1026,0.4785,0.2738,0.2853,13
M,0.589,0.466,0.177,1.0159,0.5372,0.2293,0.2475,14
M,0.589,0.48,0.166,0.9231,0.4245,0.1777,0.294,9
M,0.551,0.45,0.154,0.7447,0.3614,0.164,0.2071,9
F,0.455,0.368,0.117,0.3987,0.18,0.0706,0.16,8
M,0.555,0.462,0.174,1.0775,0.397,0.208,0.341,11
I,0.438,0.323,0.119,0.5167,0.2151,0.1068,0.1625,8
M,0.46,0.371,0.1,0.4296,0.1802,0.0736,0.1308,7
M,0.629,0.504,0.191,1.2061,0.5182,0.2355,0.3347,9
I,0.407,0.273,0.079,0.2116,0.1584,0.0532,0.0503,4
I,0.307,0.249,0.088,0.1751,0.0978,0.0226,0.0737,5
M,0.726,0.584,0.245,2.0734,0.8789,0.4991,0.5803,17
I,0.552,0.45,0.168,1.0712,0.5189,0.232,0.2613,8
F,0.511,0.399,0.142,0.5452,0.1919,0.1047,0.247,12
M,0.71,0.563,0.22,1.9176,0.8167,0.4004,0.6241,20
I,0.422,0.315,0.089,0.2789,0.1786,0.0471,0.071,5
M,0.485,0.355,0.131,0.4471,0.2759,0.0622,0.1351,8
F,0.563,0.437,0.13,0.8998,0.438,0.1997,0.1988,8
F,0.607,0.482,0.159,0.9887,0.461,0.2263,0.2286,7
M,0.568,0.438,0.157,0.8785,0.2954,0.1914,0.2816,7
I,0.512,0.377,0.137,0.4478,0.1686,0.13,0.1598,7
I,0.456,0.311,0.12,0.35,0.1583,0.0613,0.1099,8
I,0.631,0.472,0.171,1.2398,0.5578,0.3075,0.3449,7
F,0.596,0.453,0.135,0.7947,0.3183,0.1396,0.2561,12
F,0.519,0.398,0.127,0.7057,0.3474,0.1306,0.2143,10
M,0.689,0.537,0.174,1.5254,0.7039,0.3055,0.3885,10
I,0.392,0.306,0.083,0.2944,0.0928,0.0677,0.0968,7
F,0.436,0.372,0.128,0.5164,0.242,0.1045,0.1562,9
I,0.352,0.244,0.094,0.1807,0.0981,0.0372,0.0596,6
M,0.697,0.557,0.187,1.8342,0.8306,0.2917,0.564,12
I,0.574,0.472,0.157,0.8592,0.4021,0.215,0.2351,9
M,0.648,0.52,0.2,1.3539,0.615,0.2611,0.3822,12
M,0.632,0.493,0.164,1.1702,0.4774,0.233,0.3421,14
M,0.647,0.494,0.178,1.2529,0.6323,0.3398,0.2973,10
I,0.618,0.466,0.17,1.3433,0.6315,0.2889,0.3657,12
F,0.608,0.46,0.179,1.0835,0.4662,0.2786,0.2751,9
I,0.634,0.51,0.17,1.345,0.626,0.3091,0.3401,9
I,0.428,0.328,0.096,0.3859,0.1694,0.0626,0.1484,10
I,0.453,0.351,0.109,0.3673,0.1282,0.0823,0.1299,10
F,0.525,0.39,0.143,0.5582,0.1955,0.124,0.1692,9
M,0.468,0.339,0.118,0.4064,0.1748,0.0865,0.0832,6
F,0.514,0.409,0.166,0.8761,0.3203,0.1767,0.2591,12
F,0.447,0.309,0.135,0.491,0.2691,0.108,0.1296,5
I,0.519,0.39,0.126,0.5814,0.2311,0.1268,0.1517,6
F,0.457,0.383,0.108,0.5033,0.231,0.105,0.1363,8
I,0.366,0.305,0.117,0.19,0.0797,0.0344,0.0898,11
I,0.274,0.239,0.068,0.1076,0.0442,0.0311,0.0342,6
I,0.584,0.448,0.15,1.0185,0.5091,0.2039,0.2553,11
I,0.251,0.167,0.083,0.1007,0.0468,0.0306,0.0236,8
F,0.683,0.548,0.17,1.5688,0.6862,0.251,0.4654,9
F,0.429,0.341,0.097,0.2726,0.1572,0.0853,0.0559,6
M,0.507,0.374,0.148,0.5211,0.1848,0.1442,0.1672,10
I,0.668,0.525,0.179,1.3726,0.6228,0.3026,0.43,15
F,0.502,0.441,0.153,0.7409,0.2571,0.1369,0.2405,13
M,0.552,0.43,0.139,0.8084,0.3764,0.2153,0.2204,7
I,0.355,0.308,0.111,0.1756,0.0588,0.0455,0.0684,9
I,0.523,0.382,0.136,0.6075,0.2285,0.1601,0.2073,10
I,0.657,0.517,0.209,1.5063,0.5705,0.2954,0.4714,13
F,0.462,0.36,0.088,0.3293,0.1406,0.0763,0.0874,6
F,0.447,0.312,0.157,0.4065,0.1991,0.073,0.1563,7
M,0.715,0.559,0.243,1.9755,0.9147,0.392,0.6067,17
M,0.582,0.456,0.171,0.91,0.4185,0.2175,0.2792,9
I,0.532,0.391,0.123,0.6618,0.3404,0.1405,0.189,9
F,0.594,0.444,0.17,1.0688,0.4068,0.2206,0.3472,11
F,0.543,0.43,0.122,0.9354,0.323,0.1831,0.2704,8
I,0.393,0.318,0.103,0.3189,0.1461,0.0702,0.0912,5
F,0.317,0.257,0.073,0.1903,0.0732,0.0439,0.0695,7
M,0.553,0.395,0.148,0.8159,0.3817,0.223,0.1867,4
I,0.445,0.331,0.102,0.2954,0.1216,0.0766,0.1059,6
I,0.547,0.413,0.152,0.8549,0.3396,0.1296,0.2433,12
I,0.508,0.394,0.129,0.4667,0.2038,0.1301,0.114,10
I,0.419,0.3,0.103,0.2465,0.1605,0.0582,0.057,8
I,0.554,0.419,0.157,0.8567,0.3274,0.1971,0.2686,7
F,0.562,0.427,0.126,0.8151,0.3506,0.1499,0.1909,7
I,0.521,0.409,0.105,0.6083,0.2399,0.1427,0.1767,10
I,0.305,0.23,0.063,0.0951,0.0271,0.0101,0.0465,6
I,0.412,0.3,0.107,0.2405,0.0941,0.0533,0.0824,6
M,0.409,0.294,0.12,0.3419,0.1108,0.0708,0.1062,11
F,0.686,0.547,0.252,1.7505,0.716,0.357,0.5456,15
M,0.674,0.521,0.204,1.7598,0.725,0.4009,0.533,14
F,0.528,0.404,0.175,0.8748,0.3868,0.2106,0.2659,8
F,0.589,0.468,0.118,1.0452,0.4176,0.2586,0.2549,9
M,0.47,0.339,0.125,0.4849,0.2088,0.1023,0.1437,7
M,0.551,0.433,0.16,0.7713,0.3316,0.1563,0.2325,10
M,0.566,0.432,0.166,0.8271,0.3575,0.1811,0.2155,8
M,0.493,0.345,0.144,0.6917,0.3612,0.1352,0.1551,7
I,0.507,0.409,0.112,0.5181,0.2173,0.0912,0.1416,8
F,0.466,0.361,0.106,0.5424,0.2286,0.0817,0.1608,7
I,0.382,0.272,0.111,0.2406,0.1104,0.0257,0.1077,7
I,0.382,0.283,0.099,0.2036,0.1191,0.0404,0.067,7
M,0.572,0.462,0.145,1.0006,0.4545,0.2182,0.3003,10
F,0.577,0.438,0.155,0.7287,0.2937,0.1459,0.3103,15
F,0.648,0.506,0.163,1.4055,0.6377,0.2643,0.3337,7
I,0.554,0.419,0.119,0.7996,0.3379,0.2008,0.1976,7
I,0.566,0.447,0.154,0.9953,0.4021,0.2124,0.269,13
F,0.542,0.399,0.153,0.9114,0.2996,0.2158,0.2831,12
M,0.462,0.36,0.124,0.3946,0.1374,0.0832,0.1607,7
F,0.399,0.335,0.104,0.2818,0.1397,0.0453,0.102,12
M,0.719,0.558,0.177,1.7671,0.7494,0.3832,0.488,10
I,0.316,0.276,0.07,0.1186,0.0649,0.0308,0.0191,4
I,0.44,0.282,0.106,0.3818,0.1742,0.0801,0.084,4
F,0.423,0.353,0.082,0.2729,0.1142,0.0748,0.0887,7
F,0.495,0.418,0.134,0.6986,0.331,0.1241,0.2071,10
I,0.39,0.31,0.09,0.3179,0.1277,0.0632,0.0928,7
F,0.561,0.428,0.138,0.6586,0.3216,0.1709,0.1835,8
M,0.534,0.428,0.143,0.6784,0.2651,0.1565,0.2066,16
M,0.589,0.493,0.178,1.013,0.4249,0.1964,0.3129,12
M,0.694,0.531,0.213,1.4938,0.5724,0.3987,0.4375,15
M,0.633,0.51,0.193,1.2914,0.4893,0.2788,0.4588,18
M,0.558,0.458,0.149,0.9512,0.2851,0.2163,0.2843,16
M,0.64,0.499,0.184,1.2038,0.5786,0.2794,0.2942,10
M,0.637,0.497,0.166,1.2686,0.4904,0.286,0.3535,13
F,0.383,0.306,0.094,0.3625,0.1695,0.0634,0.0785,7
F,0.563,0.459,0.154,1.1487,0.5715,0.1961,0.2216,11
M,0.534,0.448,0.132,0.8185,0.3319,0.1168,0.2822,10
F,0.513,0.406,0.125,0.5456,0.2246,0.1351,0.1807,12
I,0.534,0.42,0.149,0.9145,0.3675,0.1812,0.279,8
M,0.228,0.175,0.112,0.1128,0.017,0.0392,0.0431,10
F,0.683,0.522,0.219,1.9173,0.965,0.4077,0.5161,10
I,0.604,0.488,0.122,0.9716,0.5396,0.2076,0.2508,8
I,0.555,0.442,0.135,0.6871,0.2415,0.1342,0.243,14
I,0.331,0.27,0.081,0.2137,0.1022,0.0395,0.0808,6
M,0.677,0.526,0.229,1.4823,0.5738,0.3474,0.4542,12
M,0.486,0.359,0.166,0.718,0.2897,0.1455,0.2028,9
M,0.569,0.44,0.142,0.7118,0.3451,0.2439,0.1986,7
F,0.455,0.39,0.139,0.4096,0.1546,0.1425,0.1567,10
M,0.621,0.511,0.173,1.3243,0.5828,0.3355,0.3542,8
M,0.69,0.557,0.192,1.851,0.8481,0.4677,0.4819,9
F,0.615,0.472,0.168,1.1922,0.5971,0.22,0.3457,9
I,0.734,0.596,0.246,2.3181,0.9578,0.5211,0.738,18
F,0.652,0.5,0.18,1.1594,0.4066,0.2398,0.4204,18
I,0.384,0.258,0.103,0.1963,0.1022,0.0365,0.0795,9
M,0.579,0.46,0.112,1.0673,0.3978,0.2536,0.3039,12
F,0.612,0.49,0.184,1.3915,0.6215,0.2858,0.3886,9
I,0.337,0.246,0.077,0.2099,0.0886,0.0317,0.0711,7
M,0.655,0.505,0.185,1.3732,0.6986,0.3074,0.3226,9
M,0.689,0.558,0.204,1.7341,0.824,0.3411,0.4836,14
I,0.368,0.263,0.092,0.1966,0.0832,0.0429,0.065,7
F,0.64,0.491,0.186,1.3708,0.5928,0.2772,0.4232,12
I,0.386,0.297,0.132,0.4148,0.1696,0.0732,0.1696,9
I,0.24,0.18,0.077,0.0635,0.0212,0.0038,0.0564,6
F,0.481,0.375,0.114,0.3463,0.1281,0.0762,0.1417,9
I,0.654,0.526,0.166,1.4769,0.7074,0.318,0.3745,14
I,0.331,0.277,0.097,0.1903,0.0575,0.0438,0.1052,16
F,0.395,0.315,0.11,0.4718,0.2453,0.1073,0.1075,11
M,0.442,0.356,0.095,0.5259,0.265,0.09,0.1703,10
M,0.638,0.485,0.13,1.1807,0.5462,0.2443,0.2912,10
I,0.217,0.141,0.063,0.0745,0.0238,0.0091,0.0236,5
M,0.518,0.413,0.133,0.8075,0.3098,0.1918,0.2432,9
I,0.626,0.484,0.186,1.1816,0.5127,0.2277,0.3609,11
F,0.538,0.392,0.145,0.6467,0.266,0.1042,0.2508,11
F,0.388,0.306,0.082,0.3251,0.1974,0.0486,0.0788,4
M,0.426,0.335,0.1,0.3059,0.1335,0.0481,0.1193,6
M,0.566,0.397,0.11,0.7112,0.3072,0.1245,0.2007,7
F,0.482,0.382,0.112,0.4277,0.1586,0.0663,0.1943,9
M,0.602,0.485,0.162,1.1095,0.4999,0.2697,0.3529,12
F,0.505,0.394,0.133,0.5692,0.2416,0.14,0.1715,6
I,0.491,0.382,0.113,0.5558,0.2719,0.132,0.1627,6
I,0.684,0.556,0.194,1.5725,0.7212,0.3596,0.4118,15
I,0.205,0.152,0.084,0.064,0.018,0.0226,0.0328,5
M,0.48,0.392,0.109,0.6678,0.2751,0.125,0.1897,6
I,0.445,0.348,0.078,0.3907,0.146,0.1144,0.1127,10
I,0.319,0.249,0.092,0.1751,0.1024,0.0376,0.056,7
M,0.564,0.442,0.134,0.84,0.4084,0.212,0.1853,7
I,0.441,0.334,0.1,0.4273,0.2109,0.094,0.1036,6
I,0.56,0.441,0.162,1.0065,0.4473,0.1992,0.2533,10
F,0.662,0.527,0.19,1.4008,0.619,0.3068,0.3749,13
M,0.525,0.416,0.153,0.8535,0.3232,0.1352,0.3073,12
I,0.211,0.161,0.073,0.0599,0.0287,0.0148,0.0227,10
M,0.702,0.551,0.192,1.7406,0.7877,0.3545,0.5185,17
I,0.419,0.331,0.105,0.524,0.1995,0.072,0.2108,12
M,0.572,0.46,0.144,0.8698,0.3043,0.1869,0.2849,17
I,0.553,0.408,0.13,0.6191,0.2286,0.1175,0.1901,8
I,0.317,0.265,0.093,0.1393,0.0399,0.0322,0.0816,11
F,0.63,0.499,0.183,1.1821,0.5548,0.2475,0.3308,20
F,0.64,0.531,0.18,1.3926,0.5137,0.2684,0.4563,10
M,0.581,0.47,0.145,0.6605,0.2994,0.1605,0.2475,10
I,0.608,0.461,0.177,1.0556,0.4964,0.1869,0.3488,13
F,0.435,0.322,0.113,0.3306,0.1534,0.0579,0.0965,9
I,0.296,0.22,0.084,0.1667,0.0719,0.0224,0.0458,13
F,0.502,0.364,0.115,0.5406,0.2482,0.1066,0.1911,7
F,0.775,0.622,0.294,2.6112,1.1811,0.5994,0.8319,16
I,0.396,0.276,0.094,0.2709,0.092,0.058,0.0821,7
I,0.517,0.396,0.113,0.7566,0.3045,0.1695,0.1874,9
F,0.497,0.389,0.106,0.595,0.2377,0.157,0.143,11
M,0.543,0.442,0.148,1.0364,0.4134,0.2546,0.2735,13
F,0.355,0.281,0.102,0.2719,0.0984,0.0618,0.0914,6
M,0.592,0.473,0.135,0.947,0.3487,0.1866,0.2843,11
I,0.519,0.386,0.094,0.5807,0.2724,0.0965,0.1417,7
F,0.262,0.235,0.076,0.1109,0.0334,0.0327,0.0376,8
M,0.407,0.304,0.086,0.2668,0.133,0.043,0.1055,11
M,0.621,0.5,0.207,1.3573,0.5074,0.2941,0.3917,22
F,0.626,0.484,0.188,1.1752,0.5628,0.3107,0.4237,8
M,0.651,0.512,0.186,1.2633,0.4528,0.3003,0.3867,12
I,0.45,0.346,0.11,0.4881,0.2234,0.0976,0.1406,8
F,0.583,0.464,0.151,0.8753,0.3404,0.2026,0.2133,13
I,0.43,0.308,0.116,0.4544,0.1717,0.0965,0.126,8
F,0.576,0.474,0.157,0.8681,0.4051,0.2071,0.2392,8
M,0.458,0.318,0.116,0.3608,0.149,0.1133,0.1075,7
M,0.435,0.319,0.147,0.4261,0.1753,0.1131,0.1364,10
I,0.531,0.414,0.135,0.8059,0.2632,0.1524,0.2685,9
M,0.548,0.422,0.143,0.744,0.2909,0.1683,0.2448,11
M,0.582,0.442,0.133,0.9186,0.3572,0.2157,0.2614,11
M,0.548,0.46,0.157,0.8762,0.3589,0.164,0.2782,16
F,0.278,0.215,0.087,0.0943,0.0399,0.0212,0.0437,8
M,0.555,0.415,0.16,0.8809,0.3287,0.2052,0.2548,11
M,0.532,0.413,0.151,0.7689,0.2935,0.1876,0.2439,17
F,0.694,0.528,0.221,1.7683,0.7602,0.4124,0.5198,12
F,0.504,0.371,0.152,0.7843,0.3342,0.1825,0.2296,14
M,0.601,0.468,0.155,1.0642,0.4885,0.1963,0.3194,11
F,0.595,0.461,0.188,1.09,0.4188,0.2429,0.3824,17
I,0.577,0.431,0.13,0.6809,0.3776,0.1726,0.1236,10
M,0.712,0.58,0.218,2.1667,1.0059,0.431,0.6157,13
I,0.505,0.39,0.147,0.6889,0.288,0.1044,0.1899,9
I,0.689,0.543,0.184,1.4167,0.6232,0.3197,0.3778,10
I,0.552,0.446,0.138,0.8608,0.4237,0.1885,0.2053,10
M,0.578,0.452,0.152,1.0097,0.4606,0.2352,0.291,8
I,0.464,0.371,0.148,0.4853,0.1748,0.0845,0.1858,9
I,0.189,0.12,0.043,0.0546,0.0233,0.0055,0.0163,9
I,0.529,0.422,0.147,0.8986,0.4646,0.1919,0.1921,10
I,0.564,0.435,0.127,0.797,0.3599,0.1751,0.2224,7
M,0.664,0.523,0.206,1.7525,0.7569,0.4062,0.4817,11
M,0.495,0.375,0.102,0.6534,0.2511,0.1542,0.199,8
F,0.571,0.45,0.141,0.7564,0.3621,0.1509,0.2328,9
F,0.566,0.42,0.163,0.8856,0.4276,0.1651,0.2253,11
I,0.63,0.498,0.143,1.1379,0.5011,0.2222,0.3368,10
M,0.769,0.62,0.273,2.4474,1.1156,0.5499,0.7959,16
I,0.283,0.186,0.07,0.1044,0.0438,0.0145,0.0355,6
I,0.545,0.401,0.125,0.8869,0.4378,0.1907,0.1725,8
I,0.432,0.333,0.104,0.3101,0.1162,0.0978,0.129,6
M,0.654,0.536,0.203,1.536,0.7535,0.3828,0.4028,18
I,0.415,0.321,0.132,0.4168,0.1803,0.087,0.1082,9
F,0.417,0.336,0.076,0.2193,0.1762,0.0556,0.0553,4
F,0.537,0.429,0.113,0.4975,0.2234,0.1416,0.1527,8
F,0.544,0.427,0.139,0.728,0.3823,0.1306,0.1919,7
M,0.498,0.379,0.107,0.4142,0.2001,0.0788,0.1065,8
M,0.643,0.519,0.223,1.6305,0.5768,0.3191,0.5251,20
I,0.486,0.369,0.138,0.5446,0.1693,0.1181,0.1822,12
F,0.465,0.366,0.108,0.4392,0.1745,0.1083,0.1487,10
I,0.656,0.526,0.178,1.4832,0.7622,0.3698,0.3343,5
I,0.452,0.368,0.134,0.3189,0.11,0.0829,0.0748,7
M,0.573,0.442,0.149,0.8065,0.286,0.1838,0.2526,12
M,0.498,0.417,0.114,0.6756,0.3021,0.1541,0.2391,13
F,0.556,0.44,0.152,0.8905,0.3837,0.188,0.2234,7
M,0.427,0.328,0.115,0.305,0.1289,0.0428,0.1376,7
I,0.348,0.28,0.077,0.2356,0.1499,0.0372,0.0583,8
I,0.578,0.426,0.164,0.8643,0.3442,0.1386,0.3105,10
I,0.638,0.469,0.147,1.0455,0.5295,0.2317,0.2113,5
M,0.612,0.471,0.186,1.2948,0.4832,0.3273,0.4053,15
M,0.594,0.424,0.18,1.2138,0.4446,0.2917,0.3168,11
F,0.548,0.405,0.126,0.6846,0.3659,0.1457,0.1853,7
I,0.634,0.483,0.152,1.1687,0.5445,0.2309,0.2697,11
M,0.501,0.378,0.15,0.6941,0.3086,0.1323,0.1989,9
F,0.6,0.476,0.153,1.0685,0.5486,0.2537,0.2345,9
I,0.327,0.204,0.058,0.1026,0.0484,0.0137,0.0294,4
F,0.616,0.483,0.184,1.1921,0.5016,0.2592,0.2807,11
M,0.6,0.478,0.133,0.9844,0.4209,0.1567,0.3617,8
M,0.568,0.438,0.15,0.8754,0.3893,0.1538,0.2869,11
I,0.614,0.496,0.179,1.2385,0.449,0.2527,0.4575,15
M,0.526,0.418,0.141,0.7633,0.2886,0.15,0.2572,11
M,0.624,0.516,0.216,1.4865,0.7356,0.3239,0.4516,9
I,0.56,0.43,0.13,0.9644,0.4849,0.203,0.2485,9
F,0.493,0.382,0.126,0.6358,0.3443,0.1055,0.1736,8
F,0.688,0.545,0.206,1.6599,0.6786,0.3079,0.501,16
F,0.619,0.466,0.158,1.1402,0.4522,0.3025,0.3527,17
M,0.683,0.537,0.222,1.7614,0.7622,0.4378,0.473,17
M,0.655,0.506,0.202,1.6856,0.6707,0.2992,0.5063,18
F,0.625,0.484,0.176,1.1682,0.4541,0.2561,0.3441,10
M,0.627,0.511,0.186,1.4265,0.6888,0.2868,0.3736,10
I,0.419,0.342,0.127,0.2305,0.0941,0.0468,0.1106,10
M,0.607,0.486,0.156,1.0997,0.3776,0.1919,0.3758,11
M,0.596,0.444,0.128,1.0749,0.4071,0.1749,0.3209,9
F,0.596,0.465,0.164,1.1247,0.5345,0.2547,0.3195,10
I,0.464,0.341,0.121,0.5876,0.3128,0.1078,0.1744,6
M,0.635,0.496,0.183,1.3139,0.5882,0.3259,0.3496,11
I,0.476,0.325,0.116,0.4183,0.2192,0.0718,0.1306,7
F,0.571,0.464,0.13,0.8084,0.3016,0.1657,0.2353,11
I,0.628,0.503,0.161,1.5586,0.7742,0.3298,0.3786,10
M,0.75,0.592,0.194,1.9618,0.8949,0.438,0.5971,10
M,0.685,0.549,0.224,2.0076,0.8431,0.4091,0.6497,14
M,0.558,0.45,0.141,0.9168,0.3732,0.19,0.2465,14
M,0.616,0.477,0.173,1.0729,0.3891,0.2484,0.3623,17
F,0.651,0.504,0.189,1.2731,0.5412,0.308,0.375,12
M,0.692,0.556,0.221,1.8193,0.7317,0.3968,0.5481,13
I,0.653,0.523,0.177,1.4337,0.5407,0.2963,0.4722,16
F,0.348,0.305,0.105,0.2332,0.0955,0.0404,0.0604,6
I,0.403,0.291,0.112,0.2508,0.1227,0.0326,0.1017,6
F,0.468,0.335,0.112,0.3678,0.1443,0.0655,0.1196,6
I,0.455,0.371,0.12,0.4294,0.1642,0.1049,0.1544,9
F,0.434,0.34,0.102,0.3366,0.1255,0.0902,0.1321,5
F,0.543,0.436,0.123,0.9624,0.4934,0.1523,0.2232,8
I,0.535,0.439,0.134,0.8619,0.4268,0.1724,0.2285,11
M,0.408,0.312,0.116,0.5285,0.2327,0.1019,0.1512,11
M,0.594,0.46,0.151,0.8837,0.3436,0.1975,0.2569,10
M,0.573,0.459,0.132,1.0156,0.4974,0.2194,0.2726,11
I,0.584,0.447,0.141,0.7507,0.2284,0.1704,0.3066,13
M,0.603,0.497,0.164,1.1334,0.4555,0.2408,0.3022,7
I,0.463,0.351,0.124,0.5071,0.189,0.1056,0.144,8
I,0.369,0.293,0.089,0.1207,0.0293,0.0373,0.1021,11
M,0.624,0.484,0.158,1.3424,0.5561,0.2331,0.3612,15
F,0.508,0.386,0.14,0.5926,0.2276,0.1133,0.2363,11
M,0.448,0.375,0.148,0.5273,0.1811,0.126,0.1779,17
F,0.691,0.528,0.203,1.5691,0.7551,0.3608,0.3512,10
M,0.384,0.339,0.096,0.2651,0.1286,0.0727,0.0975,7
I,0.682,0.554,0.229,1.6975,0.7535,0.3948,0.4442,14
F,0.557,0.421,0.141,0.8215,0.3197,0.1365,0.2827,13
M,0.556,0.468,0.177,0.9522,0.3174,0.221,0.2764,9
M,0.718,0.56,0.198,1.6348,0.651,0.3862,0.4597,10
I,0.422,0.319,0.104,0.3413,0.1448,0.0763,0.0896,5
I,0.519,0.414,0.145,0.6331,0.24,0.0901,0.2137,10
I,0.492,0.368,0.133,0.6183,0.3248,0.1156,0.1492,11
M,0.668,0.513,0.175,1.3426,0.6704,0.3043,0.3228,10
F,0.342,0.295,0.09,0.2178,0.0505,0.0391,0.1124,11
M,0.407,0.321,0.134,0.5051,0.1955,0.1185,0.1907,11
F,0.44,0.353,0.116,0.4724,0.1962,0.1049,0.1561,11
F,0.692,0.528,0.19,1.6271,0.9007,0.3226,0.4111,6
F,0.212,0.144,0.065,0.09,0.0395,0.0077,0.0402,6
I,0.617,0.462,0.156,1.2334,0.4916,0.2562,0.2792,11
I,0.65,0.493,0.182,1.2795,0.5757,0.2294,0.3206,11
M,0.752,0.599,0.265,2.2421,1.0649,0.5128,0.7129,17
I,0.509,0.375,0.108,0.5847,0.2329,0.1383,0.2165,6
I,0.661,0.536,0.217,1.7976,0.7463,0.3662,0.4363,11
M,0.575,0.44,0.138,0.8051,0.4009,0.1494,0.1846,9
M,0.649,0.489,0.154,1.1149,0.4289,0.2598,0.3716,10
M,0.544,0.399,0.147,0.7659,0.3307,0.2116,0.2047,8
F,0.638,0.486,0.152,1.1209,0.4719,0.2608,0.3117,9
I,0.344,0.282,0.109,0.2084,0.0749,0.0389,0.1049,9
M,0.513,0.402,0.118,0.8264,0.4122,0.1688,0.2021,11
F,0.679,0.528,0.211,1.8445,0.8678,0.4258,0.4848,10
